Fiscal Year,2025 Adjusted,,
,EPA,NSF,NIH
1938,$0.00,$0.00,$8.28
1939,$0.00,$0.00,$8.36
1940,$0.00,$0.00,$12.58
1941,$0.00,$0.00,$11.85
1942,$0.00,$0.00,$10.81
1943,$0.00,$0.00,$18.88
1944,$0.00,$0.00,$39.46
1945,$0.00,$0.00,$39.87
1946,$0.00,$0.00,$42.54
1947,$0.00,$0.00,$90.64
1948,$0.00,$0.00,$261.72
1949,$0.00,$0.00,$303.85
1950,$0.00,$0.00,$554.36
1951,$0.00,$2.26,$635.89
1952,$0.00,$33.79,$549.52
1953,$0.00,$45.30,$558.98
1954,$0.00,$75.60,$669.01
1955,$0.00,$132.42,$754.11
1956,$0.00,$476.29,$885.26
1957,$0.00,$347.93,"$1,546.70"
1958,$0.00,$440.11,"$1,789.54"
1959,$0.00,"$1,153.54","$2,448.16"
1960,$0.00,"$1,265.35","$3,305.56"
1961,$0.00,"$1,439.72","$4,512.62"
1962,$0.00,"$2,130.05","$5,989.27"
1963,$0.00,"$2,579.84","$7,041.49"
1964,$0.00,"$2,781.02","$6,834.50"
1965,$0.00,"$3,251.70","$7,421.88"
1966,$0.00,"$3,611.48","$8,283.31"
1967,$0.00,"$3,518.35","$7,418.93"
1968,$0.00,"$3,472.80","$7,552.19"
1969,$0.00,"$2,675.18","$7,421.99"
1970,"$6,377.68","$2,795.04","$6,739.91"
1971,"$7,792.00","$3,101.60","$7,332.89"
1972,"$14,184.15","$3,604.62","$8,728.49"
1973,"$13,061.20","$3,565.80","$9,684.06"
1974,"$2,612.79","$2,919.82","$9,024.82"
1975,"$3,223.89","$3,524.84","$9,655.03"
1976,"$3,374.30","$3,127.49","$10,066.25"
1977,"$11,377.91","$3,194.30","$10,471.36"
1978,"$21,149.53","$3,319.96","$10,934.85"
1979,"$19,187.69","$3,235.50","$11,329.49"
1980,"$15,210.26","$3,230.55","$11,169.49"
1981,"$9,018.66","$3,049.78","$10,621.83"
1982,"$10,302.70","$2,911.65","$10,207.02"
1983,"$9,948.41","$2,949.18","$10,852.67"
1984,"$10,586.90","$3,489.80","$11,697.36"
1985,"$10,985.47","$3,789.05","$12,993.50"
1986,"$9,062.48","$3,769.25","$13,016.03"
1987,"$12,947.15","$3,917.03","$14,923.51"
1988,"$11,721.19","$4,003.09","$15,543.01"
1989,"$11,565.37","$4,313.07","$16,029.07"
1990,"$11,811.25","$4,502.36","$16,383.98"
1991,"$12,748.00","$4,844.66","$17,309.06"
1992,"$13,639.10","$5,257.17","$18,246.58"
1993,"$13,769.82","$5,461.14","$20,649.45"
1994,"$13,025.35","$5,834.58","$21,430.32"
1995,"$13,872.77","$6,252.81","$21,648.68"
1996,"$12,272.69","$6,058.31","$22,441.26"
1997,"$12,575.84","$6,048.04","$23,564.86"
1998,"$13,467.05","$6,274.64","$25,011.36"
1999,"$13,689.13","$6,629.72","$28,187.03"
2000,"$13,337.30","$6,898.96","$31,462.55"
2001,"$13,508.14","$7,641.36","$35,284.68"
2002,"$13,720.34","$8,191.55","$39,606.97"
2003,"$13,454.50","$8,865.23","$45,244.23"
2004,"$13,567.14","$9,064.08","$45,470.13"
2005,"$12,617.04","$8,621.30","$44,965.04"
2006,"$11,620.16","$8,526.08","$43,568.13"
2007,"$11,473.58","$8,747.80","$43,336.75"
2008,"$10,888.28","$8,925.41","$43,141.89"
2009,"$11,069.67","$9,404.13","$44,235.83"
2010,"$14,734.47","$9,833.38","$44,696.21"
2011,"$12,171.53","$9,541.36","$43,341.89"
2012,"$11,628.66","$9,679.47","$42,473.04"
2013,"$10,692.10","$9,315.86","$39,671.37"
2014,"$10,906.69","$9,539.25","$40,092.25"
2015,"$10,727.16","$9,678.58","$39,945.85"
2016,"$10,626.16","$9,743.16","$42,180.62"
2017,"$10,334.85","$9,582.97","$43,990.35"
2018,"$11,063.76","$9,738.38","$46,779.34"
2019,"$10,914.98","$9,959.73","$48,486.73"
2020,"$11,023.22","$10,167.55","$50,738.39"
2021,"$10,751.33","$10,576.29","$49,979.43"
2022,"$10,387.68","$9,630.85","$49,097.45"
2023,"$10,620.55","$9,261.91","$49,965.78"
2024,"$9,364.81","$9,263.70","$49,954.91"
2025,"$9,135.17","$9,060.00",$0.00